date,period,demand,wind
2016-01-01,1,977.4348916363637,434.5382293961012
2016-01-01,2,995.0726400000001,465.83424833163485
2016-01-01,3,996.1459898181819,494.83551727538713
2016-01-01,4,974.1568232727273,482.11604589237
2016-01-01,5,945.669538909091,328.19295834840074
2016-01-01,6,928.5829701818182,235.59433248956245
2016-01-01,7,930.3235374545454,220.09930635458102
2016-01-01,8,919.9091432727273,162.8179756073507
2016-01-01,9,907.3190400000001,167.77900654196392
2016-01-01,10,893.7136058181819,216.49327065321015
2016-01-01,11,882.8930792727273,198.22268976626452
2016-01-01,12,886.4902516363637,123.89464479437197
2016-01-01,13,896.469504,153.77010421118382
2016-01-01,14,899.979648,197.78559452973474
2016-01-01,15,888.4048756363637,165.11272559913215
2016-01-01,16,882.9801076363638,191.60069693283805
2016-01-01,17,892.2341236363636,173.94204937703407
2016-01-01,18,917.4433396363637,177.13284460370164
2016-01-01,19,957.8535098181819,181.15412077977584
2016-01-01,20,988.2844276363637,272.2884775962392
2016-01-01,21,1022.0514327272728,290.7338965777968
2016-01-01,22,1051.815133090909,266.3002728557809
2016-01-01,23,1078.5908596363636,359.3141391893225
2016-01-01,24,1101.6823854545455,341.2402511588153
2016-01-01,25,1126.3984407272728,304.4149774811796
2016-01-01,26,1138.9595345454545,205.5221802163122
2016-01-01,27,1140.9611869090909,205.95927545284198
2016-01-01,28,1136.4647214545455,176.3679279397745
2016-01-01,29,1137.3059956363636,246.30316578454256
2016-01-01,30,1136.0875985454545,286.8656037345081
2016-01-01,31,1146.9081250909092,294.73331799204453
2016-01-01,32,1165.1260625454547,326.9035274006378
2016-01-01,33,1216.7048727272727,373.607153423847
2016-01-01,34,1254.0980596363638,434.0792793977449
2016-01-01,35,1265.9629265454546,463.69248167263885
2016-01-01,36,1258.7685818181817,336.89115355534375
2016-01-01,37,1239.1001716363635,314.05292744666167
2016-01-01,38,1210.206754909091,314.1403464939676
2016-01-01,39,1180.8781963636366,314.1403464939676
2016-01-01,40,1147.5463330909092,139.47708997665936
2016-01-01,41,1118.623906909091,21.330247542654266
2016-01-01,42,1086.8875636363637,21.330247542654266
2016-01-01,43,1052.1342370909092,21.461376113613206
2016-01-01,44,1019.2665250909091,21.505085637266184
2016-01-01,45,976.999749818182,21.57064992274566
2016-01-01,46,942.9716596363637,21.614359446398637
2016-01-01,47,900.7048843636364,21.548795160919166
2016-01-01,48,872.1015621818183,21.57064992274566
2016-01-02,1,864.0079243636364,21.658068970051612
2016-01-02,2,869.5487301818182,21.592504684572145
2016-01-02,3,878.8897745454547,21.461376113613206
2016-01-02,4,866.0385861818182,21.548795160919166
2016-01-02,5,851.5918778181818,21.636214208225127
2016-01-02,6,849.7062632727273,21.811052302837044
2016-01-02,7,848.3718283636365,43.62210460567408
2016-01-02,8,834.2152145454546,216.75552779512805
2016-01-02,9,826.585728,379.6827772116112
2016-01-02,10,825.5123781818182,379.6609224497847
2016-01-02,11,830.6760610909091,285.81657516683657
2016-01-02,12,836.0428101818183,290.2093822939611
2016-01-02,13,835.6366778181819,290.253091817614
2016-01-02,14,848.7489512727274,288.8980965843716
2016-01-02,15,888.1728,253.60265623459026
2016-01-02,16,909.7268247272727,203.1181564153983
2016-01-02,17,951.5294487272728,129.42389953647393
2016-01-02,18,987.8492858181819,109.20824484697064
2016-01-02,19,1039.3990865454546,129.79543048752427
2016-01-02,20,1075.0517061818182,162.70870179821821
2016-01-02,21,1106.4689454545455,147.80375423255202
2016-01-02,22,1131.5041047272728,102.47697820441172
2016-01-02,23,1152.3328930909092,69.38886879910584
2016-01-02,24,1166.112384,29.569492751241004
2016-01-02,25,1183.4890472727275,14.861238042013216
2016-01-02,26,1184.8815010909093,27.580709425030417
2016-01-02,27,1183.1409338181818,28.280061803478095
2016-01-02,28,1178.5284305454547,23.77798086722115
2016-01-02,29,1179.0215912727272,23.865399914527107
2016-01-02,30,1179.1376290909093,34.46495940037477
2016-01-02,31,1189.842117818182,41.10880699562773
2016-01-02,32,1215.0513338181818,34.290121305762845
2016-01-02,33,1269.2700043636364,42.5075117525231
2016-01-02,34,1325.3162705454547,76.77577829645946
2016-01-02,35,1366.9158283636364,79.04867352641442
2016-01-02,36,1372.891776,85.43026397974951
2016-01-02,37,1360.4177105454546,106.17043295308855
2016-01-02,38,1333.3228800000002,93.88805680660114
2016-01-02,39,1297.2061090909092,84.75276636312832
2016-01-02,40,1251.1681047272727,79.48576876294423
2016-01-02,41,1215.1383621818181,39.07631414576416
2016-01-02,42,1175.627485090909,36.03850225188204
2016-01-02,43,1145.9508130909092,38.72663795654032
2016-01-02,44,1104.9894632727273,43.775087938459514
2016-01-02,45,1067.3351912727273,46.48507840494428
2016-01-02,46,1032.1177134545455,68.1212926131694
2016-01-02,47,983.7299432727273,81.45269732732834
2016-01-02,48,953.5311010909091,93.07943061902102
2016-01-05,1,982.7146123636364,21.636214208225127
2016-01-05,2,992.1136756363637,21.658068970051612
2016-01-05,3,1003.5143912727274,21.701778493704595
2016-01-05,4,995.5367912727273,21.658068970051612
2016-01-05,5,986.2537658181818,21.811052302837044
