date,period,demand,wind
2016-01-01,1,977.4348916363635,651.8073440941519
2016-01-01,2,995.07264,698.7513724974523
2016-01-01,3,996.145989818182,742.2532759130806
2016-01-01,4,974.1568232727273,723.174068838555
2016-01-01,5,945.669538909091,492.28943752260113
2016-01-01,6,928.5829701818182,353.39149873434366
2016-01-01,7,930.3235374545454,330.1489595318716
2016-01-01,8,919.9091432727272,244.22696341102602
2016-01-01,9,907.31904,251.6685098129459
2016-01-01,10,893.7136058181819,324.73990597981515
2016-01-01,11,882.8930792727273,297.3340346493967
2016-01-01,12,886.4902516363637,185.84196719155793
2016-01-01,13,896.469504,230.65515631677573
2016-01-01,14,899.979648,296.67839179460213
2016-01-01,15,888.4048756363637,247.66908839869822
2016-01-01,16,882.9801076363638,287.4010453992571
2016-01-01,17,892.2341236363636,260.9130740655511
2016-01-01,18,917.4433396363636,265.69926690555246
2016-01-01,19,957.853509818182,271.7311811696637
2016-01-01,20,988.2844276363636,408.4327163943588
2016-01-01,21,1022.0514327272728,436.10084486669524
2016-01-01,22,1051.815133090909,399.4504092836714
2016-01-01,23,1078.5908596363636,538.9712087839837
2016-01-01,24,1101.6823854545455,511.86037673822295
2016-01-01,25,1126.3984407272728,456.6224662217694
2016-01-01,26,1138.9595345454543,308.2832703244683
2016-01-01,27,1140.9611869090909,308.938913179263
2016-01-01,28,1136.4647214545455,264.5518919096617
2016-01-01,29,1137.3059956363636,369.45474867681384
2016-01-01,30,1136.0875985454545,430.29840560176217
2016-01-01,31,1146.9081250909092,442.0999769880668
2016-01-01,32,1165.1260625454547,490.3552911009567
2016-01-01,33,1216.7048727272727,560.4107301357706
2016-01-01,34,1254.0980596363638,651.1189190966174
2016-01-01,35,1265.9629265454546,695.5387225089584
2016-01-01,36,1258.7685818181817,505.33673033301557
2016-01-01,37,1239.1001716363637,471.0793911699925
2016-01-01,38,1210.206754909091,471.21051974095144
2016-01-01,39,1180.8781963636366,471.21051974095144
2016-01-01,40,1147.5463330909092,209.21563496498902
2016-01-01,41,1118.623906909091,31.995371313981394
2016-01-01,42,1086.8875636363637,31.995371313981394
2016-01-01,43,1052.1342370909092,32.19206417041981
2016-01-01,44,1019.2665250909092,32.25762845589928
2016-01-01,45,976.999749818182,32.35597488411849
2016-01-01,46,942.9716596363636,32.42153916959796
2016-01-01,47,900.7048843636364,32.323192741378755
2016-01-01,48,872.1015621818183,32.35597488411849
2016-01-02,1,864.0079243636364,32.48710345507742
2016-01-02,2,869.5487301818182,32.388757026858215
2016-01-02,3,878.8897745454547,32.19206417041981
2016-01-02,4,866.0385861818182,32.323192741378755
2016-01-02,5,851.5918778181818,32.45432131233769
2016-01-02,6,849.7062632727273,32.71657845425557
2016-01-02,7,848.3718283636365,65.43315690851112
2016-01-02,8,834.2152145454546,325.13329169269207
2016-01-02,9,826.585728,569.5241658174168
2016-01-02,10,825.5123781818182,569.4913836746771
2016-01-02,11,830.6760610909091,428.72486275025483
2016-01-02,12,836.0428101818183,435.3140734409416
2016-01-02,13,835.6366778181819,435.37963772642104
2016-01-02,14,848.7489512727274,433.3471448765574
2016-01-02,15,888.1728,380.40398435188536
2016-01-02,16,909.7268247272729,304.67723462309743
2016-01-02,17,951.5294487272728,194.1358493047109
2016-01-02,18,987.849285818182,163.81236727045598
2016-01-02,19,1039.3990865454546,194.6931457312864
2016-01-02,20,1075.0517061818182,244.0630526973273
2016-01-02,21,1106.4689454545455,221.70563134882804
2016-01-02,22,1131.5041047272728,153.7154673066176
2016-01-02,23,1152.3328930909092,104.08330319865875
2016-01-02,24,1166.112384,44.35423912686151
2016-01-02,25,1183.4890472727277,22.291857063019826
2016-01-02,26,1184.8815010909093,41.37106413754562
2016-01-02,27,1183.1409338181818,42.42009270521714
2016-01-02,28,1178.5284305454547,35.666971300831726
2016-01-02,29,1179.0215912727272,35.79809987179066
2016-01-02,30,1179.1376290909093,51.69743910056215
2016-01-02,31,1189.842117818182,61.663210493441596
2016-01-02,32,1215.0513338181818,51.435181958644264
2016-01-02,33,1269.2700043636364,63.76126762878465
2016-01-02,34,1325.3162705454547,115.1636674446892
2016-01-02,35,1366.9158283636364,118.57301028962164
2016-01-02,36,1372.891776,128.14539596962427
2016-01-02,37,1360.4177105454546,159.25564942963285
2016-01-02,38,1333.3228800000002,140.83208520990172
2016-01-02,39,1297.2061090909092,127.12914954469247
2016-01-02,40,1251.1681047272727,119.22865314441634
2016-01-02,41,1215.138362181818,58.61447121864624
2016-01-02,42,1175.627485090909,54.05775337782306
2016-01-02,43,1145.9508130909092,58.08995693481049
2016-01-02,44,1104.989463272727,65.66263190768927
2016-01-02,45,1067.3351912727271,69.72761760741642
2016-01-02,46,1032.1177134545455,102.1819389197541
2016-01-02,47,983.7299432727272,122.1790459909925
2016-01-02,48,953.5311010909091,139.61914592853154
2016-01-05,1,982.7146123636364,32.45432131233769
2016-01-05,2,992.1136756363636,32.48710345507742
2016-01-05,3,1003.5143912727274,32.55266774055689
2016-01-05,4,995.5367912727272,32.48710345507742
2016-01-05,5,986.2537658181818,32.71657845425557
2016-01-05,6,982.8306501818182,32.65101416877609
2016-01-05,7,969.7473861818182,32.71657845425557
2016-01-05,8,960.725445818182,32.61823202603637
2016-01-05,9,953.1539781818184,32.35597488411849
2016-01-05,10,955.619781818182,32.22484631315954
2016-01-05,11,964.0035141818182,32.388757026858215
2016-01-05,12,983.062725818182,32.58544988329663
2016-01-05,13,1048.363008,32.58544988329663
2016-01-05,14,1134.6661352727274,32.25762845589928
2016-01-05,15,1248.2671592727274,32.19206417041981
2016-01-05,16,1311.623808,32.02815345672113
2016-01-05,17,1348.4368058181817,31.765896314803246
2016-01-05,18,1351.8019025454546,699.6037082086854
2016-01-05,19,1373.2398894545454,847.5823005358495
2016-01-05,20,1383.1321134545456,848.0740326769455
2016-01-05,21,1382.5809338181818,876.1027647194188
2016-01-05,22,1384.8436712727273,873.9063611558565
2016-01-05,23,1386.9033425454545,826.9951148952957
2016-01-05,24,1388.6729192727273,723.8297116933497
2016-01-05,25,1396.4184436363637,698.4891153555346
2016-01-05,26,1391.2547607272727,680.1311154212829
2016-01-05,27,1392.1830632727274,599.6509549952333
2016-01-05,28,1396.128349090909,542.2166409152176
2016-01-05,29,1403.6708072727274,470.06314474506075
2016-01-05,30,1403.1486370909092,444.5914198362866
2016-01-05,31,1411.126237090909,486.8476018278051
2016-01-05,32,1447.5911214545454,556.4113087215228
2016-01-05,33,1505.7840872727272,543.4951444820673
2016-01-05,34,1562.5845992727272,494.3874946579441
2016-01-05,35,1574.4204567272727,367.91398796804634
2016-01-05,36,1575.261730909091,346.2122094743418
2016-01-05,37,1569.3147927272726,316.6754988658405
2016-01-05,38,1551.9671389090909,324.47764883789733
2016-01-05,39,1526.4098094545454,357.2925737203722
2016-01-05,40,1476.1364247272727,418.8574377855946
2016-01-05,41,1434.7399330909093,415.93982708175815
2016-01-05,42,1379.4479127272728,420.3326342088826
2016-01-05,43,1318.0929163636365,346.04829876064304
2016-01-05,44,1246.2945163636364,338.34449521680534
2016-01-05,45,1185.1715956363637,340.27864163844964
2016-01-05,46,1121.5538618181818,366.37322725927874
2016-01-05,47,1050.567726545455,286.056977546928
2016-01-05,48,1012.681378909091,362.8655379861271
2016-01-11,1,981.3801774545454,552.1824123080969
2016-01-11,2,1006.7054312727272,575.5888622242678
2016-01-11,3,1019.9917614545454,587.68547289523
2016-01-11,4,1012.362274909091,540.2497123508335
2016-01-11,5,1009.6643956363636,507.9593017521945
2016-01-11,6,1007.8368,469.57141260396486
2016-01-11,7,997.8285381818182,513.3355731615111
2016-01-11,8,985.1223970909092,528.9726552483645
2016-01-11,9,972.4452654545456,422.266780630527
2016-01-11,10,967.745733818182,448.2630198231369
2016-01-11,11,986.6018792727272,405.2200664058648
2016-01-11,12,1008.7360930909092,306.5130346165226
2016-01-11,13,1093.1245963636363,240.29310628225778
2016-01-11,14,1192.4529687272727,189.87417074854534
2016-01-11,15,1318.8761716363638,193.0212564515599
2016-01-11,16,1390.094382545455,163.41898155757914
2016-01-11,17,1429.9243636363635,112.2788388835925
2016-01-11,18,1429.0830894545456,103.65713534304217
2016-01-11,19,1452.9578705454546,117.19616029455275
2016-01-11,20,1467.1144843636364,106.47639961865941
2016-01-11,21,1466.8824087272728,108.14828889838591
2016-01-11,22,1466.2732101818185,126.89967454551432
2016-01-11,23,1466.8533992727273,136.57040665373614
2016-01-11,24,1469.2321745454549,137.12770308031168
2016-01-11,25,1475.5852450909092,116.99946743811435
2016-01-11,26,1471.3498647272727,90.24923896249055
2016-01-11,27,1469.899392,97.2973996515336
2016-01-11,28,1463.0531607272728,133.84948880633817
2016-01-11,29,1461.5446690909089,152.14192445511034
2016-01-11,30,1462.0958487272728,101.62464249317861
2016-01-11,31,1466.3312290909091,62.97449620303101
2016-01-11,32,1502.6220567272728,52.516992669055526
2016-01-11,33,1546.281285818182,35.33914987343437
2016-01-11,34,1584.9508887272727,31.01190703178935
2016-01-11,35,1604.2131665454544,72.84192116769125
2016-01-11,36,1596.4966516363638,103.3948782011243
2016-01-11,37,1587.2716450909093,104.57503533975476
2016-01-11,38,1580.9765934545455,60.71252835398929
2016-01-11,39,1554.0848290909091,46.25560340576614
2016-01-11,40,1516.2855098181817,70.18656760577272
2016-01-11,41,1464.6196712727274,59.07342121700255
2016-01-11,42,1411.0101992727273,56.516414083303204
2016-01-11,43,1351.2507229090909,65.66263190768927
2016-01-11,44,1273.8534981818184,76.48073901180184
2016-01-11,45,1201.532928,89.6263782504356
2016-01-11,46,1140.903168,80.54572471152898
2016-01-11,47,1069.3368436363637,31.241382030967486
2016-01-11,48,1024.807330909091,35.929228442749604
2016-01-14,1,1063.5639621818182,179.54779578552882
2016-01-14,2,1069.5689192727273,237.01489200828433
2016-01-14,3,1072.7889687272727,216.7227456523883
2016-01-14,4,1075.0807156363635,224.1642920543082
2016-01-14,5,1067.4512290909092,188.26784575429832
2016-01-14,6,1064.695330909091,188.9890528945725
